Rank,Name,Analytical EDGE Score (AES),Pass Snaps per Game,Sacks per Snap,Pass Rush Win Rate,Run Snaps per Game,Hurries per Snap,Forced Fumbles per Snap,Hits per Snap,Avg Depth of Tackle,Tackles per Snap,Pressures per Snap,Stop %
66,Arden Key,46.9,77.7,32.6,62.1,55.4,33.0,77.7,17.9,4.5,11.2,21.4,8.0
67,DeMarcus Walker,46.4,76.8,14.3,44.2,53.6,42.0,20.5,71.4,79.5,34.8,34.8,43.8
68,John Franklin-Myers,45.7,45.5,13.4,70.1,67.0,78.6,20.5,91.1,18.3,13.4,76.8,4.5
69,Ogbo Okoronkwo,45.3,42.0,41.1,41.1,27.7,65.2,20.5,23.2,95.5,66.1,53.6,79.0
70,Cameron Jordan,44.6,70.5,10.7,45.5,82.1,64.3,20.5,11.6,15.2,42.0,37.5,37.5
71,Jerry Hughes,43.9,31.3,20.5,49.6,33.0,71.0,66.1,5.4,66.1,85.7,47.3,88.8
72,Joe Tryon-Shoyinka,43.6,27.2,53.6,44.2,40.2,35.7,54.5,43.8,11.2,86.6,36.6,85.7
73,Brandon Graham,43.5,22.3,54.5,93.8,12.5,69.6,20.5,17.0,36.2,27.7,61.6,40.2
74,Deatrich Wise Jr.,43.4,61.6,23.2,30.8,57.1,52.7,55.4,8.9,9.4,75.9,27.7,57.6
75,Mike Danna,43.0,81.3,28.6,20.5,71.0,24.1,20.5,25.9,2.7,75.0,16.1,54.9
76,Derek Barnett,42.3,18.8,48.2,75.4,43.8,3.6,20.5,99.1,82.6,37.5,40.2,57.6
77,Yaya Diaby,42.0,34.8,80.4,15.6,33.9,20.5,57.1,18.8,87.5,28.6,23.2,43.8
78,BJ Ojulari,41.3,6.3,73.2,68.8,25.0,44.6,20.5,83.9,0.9,58.0,64.3,11.6
79,Alex Wright,40.9,21.4,60.7,25.0,22.3,40.2,95.5,6.3,84.8,33.0,26.3,64.7
80,Emmanuel Ogbah,40.8,13.4,95.5,26.8,4.5,45.5,85.7,25.0,40.2,11.2,56.3,16.5
81,Anfernee Jennings,40.2,37.5,11.6,13.4,99.1,34.8,20.5,13.4,93.8,94.6,9.8,98.2
82,Zaven Collins,39.8,29.0,32.6,37.1,60.7,66.1,20.5,14.3,40.2,62.5,49.1,42.0
83,Tanoh Kpassagnon,38.4,25.9,35.7,51.3,8.9,73.2,20.5,49.1,18.3,50.0,67.0,73.7
84,Yannick Ngakoue,38.3,92.9,17.9,2.2,47.3,37.5,20.5,20.5,60.7,19.6,20.5,13.4
85,Kingsley Enagbare,38.2,20.5,12.5,35.3,46.4,46.4,63.8,89.3,23.2,78.6,50.9,67.9
86,Lorenzo Carter,36.8,17.9,25.9,19.6,34.8,21.4,70.5,75.0,60.7,95.5,30.4,92.4
87,Darrell Taylor,36.5,32.1,58.9,9.4,36.6,33.9,59.8,22.3,15.2,45.5,29.5,43.8
88,Lukas Van Ness,35.9,16.1,76.8,17.9,29.5,8.0,20.5,59.8,45.1,71.4,28.6,52.7
89,Clelin Ferrell,35.4,33.9,27.7,32.1,26.3,25.9,67.0,82.1,45.1,22.3,39.3,25.9
90,Azeez Ojulari,32.3,59.8,21.4,5.4,42.9,38.4,20.5,48.2,40.2,3.6,32.1,10.3
91,Jihad Ward,31.9,42.9,45.1,2.2,75.9,2.7,50.9,19.6,29.0,1.8,5.4,2.7
92,Pat Jones II,31.2,52.7,3.6,9.4,38.4,29.5,20.5,58.9,32.6,63.4,17.9,67.9
93,James Smith-Williams,30.6,41.1,6.3,17.0,48.2,41.1,20.5,68.8,52.7,17.9,31.3,21.4
94,Zack Baun,29.7,2.2,30.4,56.7,3.6,58.9,20.5,35.7,60.7,31.3,48.2,32.6
95,KJ Henry,29.6,33.0,9.8,9.4,54.5,27.7,20.5,2.7,55.8,88.4,7.1,79.0
96,Cameron Thomas,29.1,19.6,1.8,48.2,17.0,58.0,20.5,2.7,30.4,97.3,14.3,85.7
97,Cam Sample,28.5,15.2,17.0,28.6,15.6,48.2,20.5,67.0,7.6,84.8,42.9,52.7
98,Zach Harrison,28.5,8.9,45.1,7.1,32.1,11.6,20.5,26.8,45.1,92.9,12.5,95.5
99,Tyree Wilson,28.1,35.7,24.1,12.1,26.3,18.8,63.8,29.5,36.2,26.8,11.6,29.5
100,Myles Murphy,27.4,7.1,43.8,63.8,6.3,50.0,20.5,2.7,20.5,5.4,26.3,12.5
101,Keion White,27.1,39.3,5.4,9.4,50.0,15.2,20.5,31.3,66.1,36.6,8.0,61.2
102,Casey Toohill,26.7,36.6,39.3,4.0,41.1,1.8,20.5,12.5,86.2,4.5,1.8,21.4
103,Randy Gregory,25.3,27.2,25.0,25.9,24.1,14.3,20.5,54.5,45.1,14.3,18.8,16.5
104,Josh Paschal,25.1,48.2,4.5,6.3,37.5,10.7,20.5,9.8,36.2,69.6,4.5,48.7
105,Romeo Okwara,23.1,10.7,19.6,29.5,0.9,32.1,81.3,36.6,26.3,9.8,22.3,8.9
106,Micheal Clemons,23.1,8.0,8.9,30.8,49.1,4.5,76.8,10.7,15.2,49.1,0.9,29.5
107,Anthony Nelson,21.5,14.3,16.1,37.1,20.5,9.8,20.5,50.0,3.6,59.8,10.7,19.2
108,Derick Hall,18.2,2.2,1.8,21.4,10.7,17.0,20.5,80.4,45.1,53.6,15.2,46.0
109,Rashad Weaver,17.8,3.6,1.8,15.6,2.7,22.3,20.5,2.7,99.1,67.0,2.7,83.0
110,Rasheem Green,17.8,17.0,15.2,18.8,15.6,5.4,20.5,32.1,55.8,15.2,6.3,16.5
111,Shaq Lawson,17.8,11.6,7.1,4.0,9.8,19.6,20.5,84.8,73.7,17.0,25.0,6.7
112,Tavius Robinson,13.7,4.5,8.0,0.9,23.2,12.5,20.5,2.7,66.1,40.2,3.6,23.2
